"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"Eastlawn Gardens","PA","Allentown","Northampton",9343,200800,-0.00643245917862444,-0.0219191427179737,-0.0166503428011753,-0.026957795110352,-0.00245652135923125,1069,"2006-10","2006-Q4",270000,-0.256296296296296,"2004-04","1996-04","1996-Q2",122500,-0.546296296296296
2014-06-30,"Benton Township","PA","Scranton","Lackawanna",9344,155600,0.0169934640522876,0.0176586003924133,0.0988700564971751,0.0437680302680516,0.0315979587853401,907,"2014-06","2014-Q2",155600,0,"2014-06",,,,
2014-06-30,"Pine City","MN",,"Pine",9345,111300,0.0267527675276753,0.0784883720930233,0.121975806451613,0.00585156061251291,-0.0152589389957727,880,"2005-11","2005-Q4",151600,-0.265831134564644,"2001-12","1996-04","1996-Q2",53700,-0.645778364116095
2014-06-30,"Carlyle","IL","St. Louis","Clinton",9346,61500,-0.028436018957346,-0.0942562592047128,-0.259036144578313,-0.0725010615538758,-0.0305814729363327,1144,"2008-05","2008-Q2",93400,-0.341541755888651,"1996-08","1996-07","1996-Q3",61400,-0.342612419700214
2014-06-30,"Deering","NH","Manchester","Hillsborough",9347,197300,-0.00202326757713708,0.00152284263959391,0.0292123109024517,-0.0249775885200919,-0.0158158352794083,437,"2007-11","2007-Q4",256800,-0.231697819314642,"2002-11","1997-03","1997-Q1",97600,-0.61993769470405
2014-06-30,"Olga","WA",,"San Juan",9348,451700,-0.00110570544007077,-0.00790687458818362,-0.0188966116420504,-0.0281427620234738,0.0241519934877472,529,"2006-09","2006-Q3",537800,-0.160096690219412,"2005-03","1998-01","1998-Q1",215500,-0.599293417627371
2014-06-30,"Round Lake Heights","IL","Chicago","Lake",9349,135400,0.0242057488653555,0.0569867291178767,0.120860927152318,-0.0301549956543055,-0.0296229964021496,728,"2006-01","2006-Q1",206400,-0.343992248062016,"1999-12","2012-06","2012-Q2",113100,-0.45203488372093
2014-06-30,"Big Rock","IL","Chicago","Kane",9350,213200,0.0133079847908745,0.0152380952380952,0.106382978723404,-0.0280564000694896,-0.0108189181430421,471,"2007-07","2007-Q3",270800,-0.212703101920236,"2003-09","1997-10","1997-Q4",167600,-0.38109305760709
2014-06-30,"North Belle Vernon","PA","Pittsburgh","Westmoreland",9351,68700,0.0102941176470588,-0.0157593123209169,-0.067842605156038,-0.0139524693297171,0.00648449047192923,799,"2008-04","2008-Q2",86300,-0.203939745075319,"2004-11","1998-10","1998-Q4",49700,-0.424101969872538
2014-06-30,"Newbury","NH","Concord","Merrimack",9352,262800,-0.000380372765310004,-0.00792751981879955,-0.00379075056861259,-0.0111825704045735,-0.00431004590120576,1488,"2006-10","2006-Q4",317900,-0.173324944951243,"2003-12","1996-04","1996-Q2",118300,-0.627870399496697
2014-06-30,"Ocean Gate","NJ","New York","Ocean",9353,195000,0.00411946446961895,-0.00611620795107034,0.0411105178857448,-0.0287319490653001,-0.00112125927900719,1007,"2006-06","2006-Q2",262600,-0.257425742574257,"2004-06","1997-09","1997-Q3",82800,-0.684691546077685
2014-06-30,"Alvarado","TX","Dallas-Fort Worth","Johnson",9354,77400,0.0347593582887701,0.0617283950617284,0.126637554585153,-0.00483852604553869,0.00573220797344276,1057,"2007-09","2007-Q3",86700,-0.107266435986159,"2005-05","1996-12","1996-Q4",46400,-0.46482122260669
2014-06-30,"Fall River","WI","Madison","Columbia",9355,156500,0.0222077073807969,0.0837950138504155,0.130780346820809,0.00505993668570159,0.00669364380894222,860,"2006-02","2006-Q1",164700,-0.0497874924104432,"2005-11","1996-04","1996-Q2",96800,-0.412264723740134
2014-06-30,"Conway","MA","Springfield","Franklin",9356,276900,-0.0222457627118644,-0.0435233160621762,-0.026713532513181,0.00829190445753758,0.00573861781005225,674,"2006-08","2006-Q3",312800,-0.114769820971867,"2005-04","1996-05","1996-Q2",132800,-0.575447570332481
2014-06-30,"Butlerville","IN","North Vernon","Jennings",9357,90400,-0.0237580993520518,-0.0859453993933266,-0.00659340659340659,0.0497948527759762,0.00992344167046988,485,"2005-03","2005-Q1",102100,-0.114593535749265,"2004-09","1996-08","1996-Q3",63400,-0.379040156709109
2014-06-30,"Lexington","MN","Minneapolis-St Paul","Anoka",9358,165500,-0.00180940892641737,0.00181598062953995,0.0670535138620245,-0.000241516753212156,-0.0116627535158531,498,"2006-01","2006-Q1",201000,-0.176616915422886,"2003-01","1996-11","1996-Q4",89400,-0.555223880597015
2014-06-30,"Kent","CT","Torrington","Litchfield",9359,301500,0.0172064777327935,0.0505226480836237,0.0687699397376817,-0.0313216805072682,-0.00364078105572152,911,"2006-04","2006-Q2",376800,-0.19984076433121,"2004-05","1997-05","1997-Q2",153300,-0.593152866242038
2014-06-30,"Lawsonville","NC","Winston-Salem","Stokes",9360,118400,0.00937766410912191,0.0295652173913043,-0.0771628994544037,-0.0106320152270808,0.0104590741162687,533,"2010-10","2010-Q4",137100,-0.136396790663749,"2008-05","1996-06","1996-Q2",79800,-0.417943107221007
2014-06-30,"Mc Leansville","NC","Greensboro","Guilford",9361,111200,0.00815956482320943,0.0402245088868101,0.089128305582762,0.00271989512835957,0.00906956618343324,661,"2009-12","2009-Q4",115000,-0.0330434782608696,"2009-08","1996-04","1996-Q2",80200,-0.302608695652174
2014-06-30,"Kenilworth","PA","Philadelphia","Chester",9362,225200,0.00670540902995083,0.00490852298081214,0.0330275229357798,-0.00255577503649196,0.00959003282874593,571,"2007-05","2007-Q2",255800,-0.119624706802189,"2005-02","1997-12","1997-Q4",128300,-0.498436278342455
2014-06-30,"Englishtown","NJ","New York","Monmouth",9363,268200,0.0162940507768094,0.0525902668759812,0.0871503850830969,-0.0120083711867597,-0.00383293185626432,602,"2006-01","2006-Q1",338900,-0.208616110947182,"2004-02","1997-05","1997-Q2",134200,-0.604012983180879
2014-06-30,"Weymouth Township","NJ","Atlantic City","Atlantic",9364,156100,0.0256241787122208,0.0209287115761936,-0.0113996200126662,-0.0560636152553914,-0.0201804580586903,671,"2006-03","2006-Q1",255300,-0.388562475518997,"2003-06","1996-04","1996-Q2",78300,-0.693301997649824
2014-06-30,"Lebanon South","PA","Lebanon","Lebanon",9365,136100,0.0164301717699776,0.0334092634776006,0.0461183704842429,-0.00942621502730523,0.0198625210151813,792,"2008-07","2008-Q3",145600,-0.0652472527472528,"2007-03","1996-04","1996-Q2",75700,-0.480082417582418
2014-06-30,"Bellerose Terrace","NY","New York","Nassau",9366,371200,0.00243046178773967,-0.013028449880351,0.0715935334872979,0.0203080784470977,0.0105252253122217,514,"2006-08","2006-Q3",442900,-0.161887559268458,"2005-03","1997-10","1997-Q4",152100,-0.656581621133439
2014-06-30,"Harwich Port","MA","Cape Cod","Barnstable",9367,465800,0.00258286698235041,0.00387931034482759,0.0378787878787879,-0.00573926006907532,0.00012890198772042,2004,"2006-04","2006-Q2",530700,-0.122291313359714,"2004-07","1996-07","1996-Q3",166100,-0.687017147164123
2014-06-30,"Delaware City","DE","Philadelphia","New Castle",9368,140600,-0.0256410256410256,-0.0670205706702057,-0.0396174863387978,-0.04575569093919,0.00157833788546369,705,"2006-05","2006-Q2",188800,-0.255296610169492,"2004-08","1997-01","1997-Q1",85800,-0.545550847457627
2014-06-30,"Woodland Township","NJ","Philadelphia","Burlington",9369,229900,0.00305410122164049,-0.0043308791684712,-0.00173686495874946,-0.0212005039504184,-0.00052047305800218,442,"2007-04","2007-Q2",284300,-0.191347168483996,"2004-06","1997-09","1997-Q3",126400,-0.555399226169539
2014-06-30,"Allentown","NJ","New York","Monmouth",9370,291500,0.0181627663290255,0.0584604212055192,0.115149196633512,-0.0102435647939573,-0.00379602837611326,620,"2006-03","2006-Q1",356100,-0.181409716371806,"2004-05","1996-07","1996-Q3",144000,-0.595619208087616
2014-06-30,"Lincoln Park","NY","Kingston","Ulster",9371,139300,0.023512123438648,0.0227606461086637,-0.0197044334975369,-0.0355072755240399,-0.00407101875476779,620,"2007-02","2007-Q1",189600,-0.265295358649789,"2003-09","1997-07","1997-Q3",67200,-0.645569620253165
2014-06-30,"Hampton","IL","Davenport","Rock Island",9372,129600,0.0109204368174727,-0.0023094688221709,0.0746268656716418,0.00871073793381072,0.0125533100333117,744,"2008-01","2008-Q1",134200,-0.0342771982116244,"2007-09","1996-04","1996-Q2",73800,-0.450074515648286
2014-06-30,"Dunkerton","IA","Waterloo","Black Hawk",9373,147600,0.00271739130434783,0.0137362637362637,0.0307262569832402,0.0171039328104778,0.037542896922784,704,"2014-06","2014-Q2",147600,0,"2014-06",,,,
