"Date","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"United States",0,174200,0.00461361014994233,0.0104408352668213,0.0634920634920635,0.00406753698811468,0.00728719624282848,87086128,"2007-05","2007-Q2",196300,-0.112582781456954,"2005-03","1996-04","1996-Q2",100800,-0.486500254712175
2014-06-30,"California",1,432100,0.0121808386038885,0.0439719739067408,0.162496637072908,0.0465980439806528,0.00337108876351433,8367490,"2006-05","2006-Q2",538300,-0.197287757755898,"2004-08","1996-11","1996-Q4",158800,-0.704997213449749
2014-06-30,"New York",2,252400,0.00597847748106815,0.0100040016006403,0.0464344941956882,-0.0137559043670183,,3324971,"2007-02","2007-Q1",332500,-0.240902255639098,"2004-11","1996-09","1996-Q3",118400,-0.64390977443609
2014-06-30,"Florida",3,162900,0.0118012422360248,0.0342857142857143,0.142356241234222,0.0131489767416377,-0.00242289155448749,6390901,"2006-06","2006-Q2",257300,-0.366886902448504,"2004-05","1996-04","1996-Q2",87300,-0.660707345511077
2014-06-30,"Illinois",4,154600,0.0124426981008513,0.0137704918032787,0.0773519163763066,-0.0254845473123713,-0.0107810639619841,3632912,"2007-06","2007-Q2",199400,-0.224674022066199,"2002-11","1996-10","1996-Q4",111700,-0.439819458375125
2014-06-30,"Pennsylvania",5,149300,0.00810263335584065,0.00268636668905306,0.0360860513532269,-0.00397100569294606,0.0176791425016605,3913487,"2007-09","2007-Q3",153600,-0.0279947916666667,"2006-07","1996-11","1996-Q4",84900,-0.447265625
2014-06-30,"Ohio",6,115300,0.00698689956331878,0.0248888888888889,0.0826291079812207,0.00492894862485338,-0.00323735334311159,3585284,"2006-05","2006-Q2",123700,-0.0679062247372676,"2003-07","1996-06","1996-Q2",86800,-0.298302344381568
2014-06-30,"Michigan",7,120300,0.00669456066945607,0.0177664974619289,0.084761045987376,0.0260203908883627,-0.0140605602301589,3529609,"2005-10","2005-Q4",142800,-0.157563025210084,"2001-01","1996-10","1996-Q4",89300,-0.374649859943978
2014-06-30,"Georgia",8,133500,0.0105980317940954,0.0136674259681093,0.0800970873786408,-0.00632031837666258,-0.00726648835510568,2869221,"2006-11","2006-Q4",158100,-0.155597722960152,"2002-09","1996-04","1996-Q2",91900,-0.418722327640734
2014-06-30,"North Carolina",9,148200,0.00679347826086957,0.00816326530612245,0.0458715596330275,-0.0030753357029385,0.0122585107352313,3041797,"2007-11","2007-Q4",153600,-0.03515625,"2006-11","1996-04","1996-Q2",91000,-0.407552083333333
2014-06-30,"New Jersey",10,279100,0.00867365377665342,0.014171511627907,0.0567966679288148,-0.0175273204414039,-0.0053902564997067,2503469,"2006-06","2006-Q2",367900,-0.241369937483012,"2004-02","1996-12","1996-Q4",140300,-0.618646371296548
2014-06-30,"Virginia",11,229200,0.00482244629548444,0.0123674911660777,0.0611111111111111,0.00540955577327473,0.0153058528096761,2494852,"2006-08","2006-Q3",267100,-0.141894421564957,"2005-03","1996-04","1996-Q2",115600,-0.5672032946462
