state,zipcode,census_tract_id,mean_household_income
AK,99647,2164000100,55699
AK,99648,2164000100,55699
AK,99653,2164000100,55699
AK,99649,2164000100,55699
AK,99695,2164000100,55699
AK,99654,2170000501,58575
AK,99684,2180000100,46477
AK,99762,2180000100,46477
AK,99784,2180000100,46477
AK,99742,2180000100,46477
AK,99747,2185000200,71894
AK,99770,2188000100,55253
AK,99763,2188000100,55253
AK,99921,2198000100,55501
AK,99835,2220000100,82879
AK,99737,2240000400,82945
AK,99686,2261000300,80663
AK,99929,2275000300,69596
AK,99726,2290000200,54749
AK,99757,2290000400,51361
AK,99591,2016000100,59723
AK,99508,2020001601,79115
AK,99501,2020000600,41179
AK,99578,2050000100,49549
AK,99633,2060000100,88476
AK,99701,2290000200,54749
AK,99820,2105000300,54330
AK,99824,2110000600,90879
AK,99631,2122000300,85571
AK,99639,2122000800,59106
AK,99645,2170001300,83538
AK,99772,2180000100,46477
AK,99786,2188000100,55253
AK,99751,2188000100,55253
AK,99833,2195000200,73267
AK,99919,2198000100,55501
AK,99923,2198000300,42895
AK,99657,2270000100,47397
AK,99554,2270000100,47397
AK,99741,2290000300,41621
AK,99627,2290000400,51361
AK,99756,2290000200,54749
AK,99724,2290000100,35141
AK,99571,2013000100,65923
AK,99612,2013000100,65923
AK,99638,2016000100,59723
AK,99577,2020000204,137128
AK,99506,2020000400,63320
AK,99504,2020001731,67749
AK,99587,2020002900,97126
AK,99621,2050000100,49549
AK,99634,2050000100,49549
AK,99622,2050000100,49549
AK,99561,2050000100,49549
AK,99628,2070000100,51042
AK,99580,2070000100,51042
AK,99605,2122000300,85571
AK,99615,2150000100,65712
AK,99625,2164000100,55699
AK,99565,2164000100,55699
AK,99693,2261000300,80663
AK,99778,2180000100,46477
AK,99721,2185000200,71894
AK,99766,2185000200,71894
AK,99773,2188000100,55253
AK,99836,2195000200,73267
AK,99918,2198000100,55501
AK,99738,2240000100,53209
AK,99574,2261000200,79527
AK,99666,2270000100,47397
